id,title,fuentes,bibliografia,gradoProteccion,intervencionesPermitidas,elementosAConservar,link,tipo,informe,edificio,tipo_institucion
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/117"," Conde Aranda , 27","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada.","http://www.zaragoza.es/pgou/edih/aranda-conde-027.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3835",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/118"," Mayor , 72","","","Interés Arquitectónico (B)","Rehabilitaci&#38;oacute;n integral y b&#38;uacute;squeda de elementos originales","Fachada, caja de escaleras,etc.","http://www.zaragoza.es/pgou/edih/mayor72.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3848",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/119"," Mefisto , Fernando Soteras , 7","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada, zagu&#38;aacute;n, caja de escaleras, etc.","http://www.zaragoza.es/pgou/edih/mefisto07.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3851",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/122"," Méndez Núñez , 17","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada, zagu&#38;aacute;n, caja de escaleras, carpinter&#38;iacute;as.","http://www.zaragoza.es/pgou/edih/mendeznunez17.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3860",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/123"," Méndez Núñez , 28","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/mendeznunez28.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3864",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/124"," Méndez Núñez , 29","","","Interés Ambiental","Rehabilitaci&#38;oacute;n de fachada","","http://www.zaragoza.es/pgou/edih/mendeznunez29.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3865",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/127"," Manuel Lacruz , 18","","","Interés Ambiental","Restauraci&#38;oacute;n","Fachad y caja de escaleras.","http://www.zaragoza.es/pgou/edih/lacruz18.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3610",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/129"," Libertad , 4","","","Interés Ambiental","Rehabilitaci&#38;oacute;n de fachada.","","http://www.zaragoza.es/pgou/edih/libertad04.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3614",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/130"," Manuel Lacruz , 20","","","Interés Ambiental","Restauraci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/lacruz20.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3611",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/131"," Francisco Loscos , 4","","","Interés Ambiental","Rehabilitaci&#38;oacute;n de fachada.","","http://www.zaragoza.es/pgou/edih/loscos04.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3618",""
