ID,URL,Festival,Town,Province,Dates,DetailsLink,TownLink,Name1,Name2
1,https://fiestas.net/espana/,Fiesta Mayor de Invierno 2018,Salou,Tarragona,del 25 de enero al 4 de febrero,https://fiestas.net/salou/fiesta-mayor-invierno-2018/,https://fiestas.net/salou/,,Fiesta Mayor de Invierno 2018
2,https://fiestas.net/espana/,Carnaval 2018,Las Palmas de Gran Canaria,Las Palmas,del 26 de enero al 18 de febrero,https://fiestas.net/las-palmas-gran-canaria/carnaval-2018/,https://fiestas.net/las-palmas-gran-canaria/,,Carnaval 2018
3,https://fiestas.net/espana/,Carnaval 2018,Vinarós,Castellón,del 27 de enero al 12 de febrero,https://fiestas.net/vinaros/carnaval-2018/,https://fiestas.net/vinaros/,,Carnaval 2018
4,https://fiestas.net/espana/,Procesión del Jesuset del Miracle,Alcoy,Alicante,31 de enero (Aprox.),,https://fiestas.net/alcoy/,Procesión del Jesuset del Miracle,
5,https://fiestas.net/espana/,Entroido 2018,Verín,Ourense,del 1 de febrero al 13 de febrero,https://fiestas.net/verin/entroido-2018/,https://fiestas.net/verin/,,Entroido 2018
6,https://fiestas.net/espana/,Fiestas de la Candelas 2018,Arbancón,Guadalajara,del 1 de febrero al 4 de febrero,https://fiestas.net/arbancon/candelas-2018/,https://fiestas.net/arbancon/,,Fiestas de la Candelas 2018
7,https://fiestas.net/espana/,Carnaval 2018,Tarragona,,del 2 de febrero al 13 de febrero,https://fiestas.net/tarragona/carnaval-2018/,https://fiestas.net/tarragona/,,Carnaval 2018
8,https://fiestas.net/espana/,Feria de la Candelaria 2018,Molins de Rei,Barcelona,del 2 de febrero al 4 de febrero,https://fiestas.net/molins-rei/feria-candelaria-2018/,https://fiestas.net/molins-rei/,,Feria de la Candelaria 2018
9,https://fiestas.net/espana/,La Candelaria 2018,Dos Torres,Córdoba,del 2 de febrero al 4 de febrero,https://fiestas.net/dos-torres/candelaria-2018/,https://fiestas.net/dos-torres/,,La Candelaria 2018
10,https://fiestas.net/espana/,Las Candelas,Almendralejo,Badajoz,2 de febrero (Aprox.),,https://fiestas.net/almendralejo/,Las Candelas,
11,https://fiestas.net/espana/2/,Moros y Cristianos a San Blas,Bocairente,Valencia,5 de febrero (Aprox.),,https://fiestas.net/bocairente/,Moros y Cristianos a San Blas,
12,https://fiestas.net/espana/2/,Santa Águeda,Cogolludo,Guadalajara,5 de febrero (Aprox.),,https://fiestas.net/cogolludo/,Santa Águeda,
13,https://fiestas.net/espana/3/,El Vitor,San Esteban del Valle,Ávila,del 5 de febrero al 11 de febrero,,https://fiestas.net/san-esteban-valle/,El Vitor,
14,https://fiestas.net/espana/3/,Carnaval de Cádiz 2018,Cádiz,,del 8 de febrero al 18 de febrero,https://fiestas.net/cadiz/carnaval-2018/,https://fiestas.net/cadiz/,,Carnaval de Cádiz 2018
15,https://fiestas.net/espana/3/,Ferias de Febrero,Tafalla,Navarra,8 de febrero (Aprox.),,https://fiestas.net/tafalla/,Ferias de Febrero,
16,https://fiestas.net/espana/3/,Carnaval del Toro 2018,Ciudad Rodrigo,Salamanca,del 9 de febrero al 13 de febrero,https://fiestas.net/ciudad-rodrigo/carnaval-toro-2018/,https://fiestas.net/ciudad-rodrigo/,,Carnaval del Toro 2018
17,https://fiestas.net/espana/3/,Carnaval 2018,Santa Cruz de Tenerife,Tenerife,del 9 de febrero al 14 de febrero,https://fiestas.net/santa-cruz-tenerife/carnaval-2018/,https://fiestas.net/santa-cruz-tenerife/,,Carnaval 2018
18,https://fiestas.net/espana/3/,Carnaval 2018,Tarazona de la Mancha,Albacete,del 10 de febrero al 18 de febrero,https://fiestas.net/tarazona-la-mancha/carnaval-2018/,https://fiestas.net/tarazona-la-mancha/,,Carnaval 2018
19,https://fiestas.net/espana/3/,Santa Eulalia,Barcelona,,12 de febrero (Aprox.),,https://fiestas.net/barcelona/,Santa Eulalia,
20,https://fiestas.net/espana/3/,Carnaval,Águilas,Murcia,15 de febrero (Aprox.),,https://fiestas.net/aguilas/,Carnaval,
21,https://fiestas.net/espana/3/,Carnaval,Badajoz,,15 de febrero (Aprox.),,https://fiestas.net/badajoz/,Carnaval,
22,https://fiestas.net/espana/3/,Entroido,Xinzo de Limia,Ourense,15 de febrero (Aprox.),,https://fiestas.net/xinzo-limia/,Entroido,
23,https://fiestas.net/espana/2/,Fiesta de los Arrieros 2018,Balsareny,Barcelona,del 2 de febrero al 4 de febrero,https://fiestas.net/balsareny/fiesta-arrieros-2018/,https://fiestas.net/balsareny/,,Fiesta de los Arrieros 2018
24,https://fiestas.net/espana/2/,Las Candelas y Romería de San Blás,Cáceres,,del 2 de febrero al 3 de febrero,,https://fiestas.net/caceres/,Las Candelas y Romería de San Blás,
25,https://fiestas.net/espana/2/,La Vaquilla,Colmenar Viejo,Madrid,2 de febrero (Aprox.),,https://fiestas.net/colmenar-viejo/,La Vaquilla,
26,https://fiestas.net/espana/2/,Virgen de la Candelaria,La Ametlla de Mar,Tarragona,2 de febrero (Aprox.),,https://fiestas.net/ametlla-mar/,Virgen de la Candelaria,
27,https://fiestas.net/espana/2/,Carnaval 2018,Tolosa,Guipúzcoa,del 3 de febrero al 13 de febrero,https://fiestas.net/tolosa/carnaval-2018/,https://fiestas.net/tolosa/,,Carnaval 2018
28,https://fiestas.net/espana/2/,Los Negritos de San Blas,Montehermoso,Cáceres,3 de febrero (Aprox.),,https://fiestas.net/montehermoso/,Los Negritos de San Blas,
29,https://fiestas.net/espana/2/,San Blas,Valdemorillo,Madrid,3 de febrero (Aprox.),,https://fiestas.net/valdemorillo/,San Blas,
30,https://fiestas.net/espana/2/,Feira do Cocido 2018,Lalín,Pontevedra,4 de febrero,https://fiestas.net/lalin/feira-do-cocido-2018/,https://fiestas.net/lalin/,,Feira do Cocido 2018
31,https://fiestas.net/espana/2/,Moros y Cristianos a San Blas,Bocairente,Valencia,5 de febrero (Aprox.),,https://fiestas.net/bocairente/,Moros y Cristianos a San Blas,
32,https://fiestas.net/espana/2/,Santa Águeda,Cogolludo,Guadalajara,5 de febrero (Aprox.),,https://fiestas.net/cogolludo/,Santa Águeda,
33,https://fiestas.net/espana/1/,Fiesta Mayor de Invierno 2018,Salou,Tarragona,del 25 de enero al 4 de febrero,https://fiestas.net/salou/fiesta-mayor-invierno-2018/,https://fiestas.net/salou/,,Fiesta Mayor de Invierno 2018
34,https://fiestas.net/espana/1/,Carnaval 2018,Las Palmas de Gran Canaria,Las Palmas,del 26 de enero al 18 de febrero,https://fiestas.net/las-palmas-gran-canaria/carnaval-2018/,https://fiestas.net/las-palmas-gran-canaria/,,Carnaval 2018
35,https://fiestas.net/espana/1/,Carnaval 2018,Vinarós,Castellón,del 27 de enero al 12 de febrero,https://fiestas.net/vinaros/carnaval-2018/,https://fiestas.net/vinaros/,,Carnaval 2018
36,https://fiestas.net/espana/1/,Procesión del Jesuset del Miracle,Alcoy,Alicante,31 de enero (Aprox.),,https://fiestas.net/alcoy/,Procesión del Jesuset del Miracle,
37,https://fiestas.net/espana/1/,Entroido 2018,Verín,Ourense,del 1 de febrero al 13 de febrero,https://fiestas.net/verin/entroido-2018/,https://fiestas.net/verin/,,Entroido 2018
38,https://fiestas.net/espana/1/,Fiestas de la Candelas 2018,Arbancón,Guadalajara,del 1 de febrero al 4 de febrero,https://fiestas.net/arbancon/candelas-2018/,https://fiestas.net/arbancon/,,Fiestas de la Candelas 2018
39,https://fiestas.net/espana/1/,Carnaval 2018,Tarragona,,del 2 de febrero al 13 de febrero,https://fiestas.net/tarragona/carnaval-2018/,https://fiestas.net/tarragona/,,Carnaval 2018
