Name,Category,Location,WikidataID,DateCelebration,DateDeclaration,Latitude,Longitude,Image,WikiLink,UbicacionLink,,Coordinate3Link,,Coordinate4Link,,IdentificadorLink,Category,CategoryLink,Imagen1
Fiestas del Motín de Aranjuez,International,Aranjuez,Q23199370,Primera semana de septiembre,2014,40°02′00″N,3°37′00″O,https://commons.wikimedia.org/wiki/File:Mot%C3%ADndeAranjuez2(2006).JPG; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23199370&descriptionlang=es&categories=Mot%C3%ADn+de+Aranjuez&description=Fiestas+del+Mot%C3%ADn+de+Aranjuez,https://es.wikipedia.org/w/index.php?title=Fiestas_del_Mot%C3%ADn_de_Aranjuez&action=edit&redlink=1,https://es.wikipedia.org/wiki/Aranjuez,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_02_00_N_3_37_00_W_&title=Aranjuez,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_02_00_N_3_37_00_W_&title=Aranjuez,,https://www.wikidata.org/wiki/Q23199370,Motín de Aranjuez,https://commons.wikimedia.org/wiki/Category:Mot%C3%ADn_de_Aranjuez,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Mot%C3%ADndeAranjuez2%282006%29.JPG/75px-Mot%C3%ADndeAranjuez2%282006%29.JPG; https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/16px-Camera-photo_Upload.svg.png
Fiestas del Cristo de los Remedios,National,San Sebastián de los Reyes,Q23452764,Última semana de agosto,1985,40°32′49″N,3°37′33″O,https://commons.wikimedia.org/wiki/File:Encierro_Sanse_Estafeta.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23452764&descriptionlang=es&categories=Fiestas+del+Cristo+de+los+Remedios&description=Fiestas+del+Cristo+de+los+Remedios,https://es.wikipedia.org/w/index.php?title=Fiestas_del_Cristo_de_los_Remedios&action=edit&redlink=1,https://es.wikipedia.org/wiki/San_Sebasti%C3%A1n_de_los_Reyes,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_32_49_N_3_37_33_W_&title=San+Sebasti%C3%A1n+de+los+Reyes,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_32_49_N_3_37_33_W_&title=San+Sebasti%C3%A1n+de+los+Reyes,,https://www.wikidata.org/wiki/Q23452764,Fiestas del Cristo de los Remedios,https://commons.wikimedia.org/wiki/Category:Fiestas_del_Cristo_de_los_Remedios,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Encierro_Sanse_Estafeta.jpg/100px-Encierro_Sanse_Estafeta.jpg; https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/16px-Camera-photo_Upload.svg.png
Romería de la Virgen de Gracia,National,San Lorenzo de El Escorial,Q23452890,Segundo domingo de septiembre,1988,40°35′37″N,4°08′34″O,https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23452890&descriptionlang=es&categories=Festivals+of+the+Community+of+Madrid&description=Romer%C3%ADa+de+la+Virgen+de+Gracia,https://es.wikipedia.org/wiki/Romer%C3%ADa_de_la_Virgen_de_Gracia,https://es.wikipedia.org/wiki/San_Lorenzo_de_El_Escorial,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_35_37_N_4_08_34_W_&title=San+Lorenzo+de+El+Escorial,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_35_37_N_4_08_34_W_&title=San+Lorenzo+de+El+Escorial,,https://www.wikidata.org/wiki/Q23452890,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/50px-Camera-photo_Upload.svg.png
Semana Cervantina de Alcalá de Henares,National,Alcalá de Henares,Q23459413,Semana en torno al 9 de octubre,20 de marzo de 2018,40°28′00″N,3°22′00″O,"https://commons.wikimedia.org/wiki/File:Alcal%C3%A1_de_Henares_(RPS_12-10-2014)_Mercadillo_medieval,_juglares.png; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23459413&descriptionlang=es&categories=Semana+Cervantina+de+Alcal%C3%A1+de+Henares&description=Semana+Cervantina+de+Alcal%C3%A1+de+Henares",https://es.wikipedia.org/w/index.php?title=Semana_Cervantina_de_Alcal%C3%A1_de_Henares&action=edit&redlink=1,https://es.wikipedia.org/wiki/Alcal%C3%A1_de_Henares,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_28_00_N_3_22_00_W_&title=Alcal%C3%A1+de+Henares,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_28_00_N_3_22_00_W_&title=Alcal%C3%A1+de+Henares,,https://www.wikidata.org/wiki/Q23459413,Semana Cervantina de Alcalá de Henares,https://commons.wikimedia.org/wiki/Category:Semana_Cervantina_de_Alcal%C3%A1_de_Henares,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Alcal%C3%A1_de_Henares_%28RPS_12-10-2014%29_Mercadillo_medieval%2C_juglares.png/100px-Alcal%C3%A1_de_Henares_%28RPS_12-10-2014%29_Mercadillo_medieval%2C_juglares.png; https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/16px-Camera-photo_Upload.svg.png
Fiesta de la Vaquilla,Regional,Pedrezuela,Q23455515,20 de enero,28 de abril de 2011,40°44′38″N,3°36′03″O,https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23455515&descriptionlang=es&categories=Festivals+of+the+Community+of+Madrid&description=Fiesta+de+la+Vaquilla,https://es.wikipedia.org/w/index.php?title=Fiesta_de_la_Vaquilla_(Pedrezuela)&action=edit&redlink=1,https://es.wikipedia.org/wiki/Pedrezuela,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_44_38_N_3_36_03_W_&title=Pedrezuela,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_44_38_N_3_36_03_W_&title=Pedrezuela,,https://www.wikidata.org/wiki/Q23455515,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/50px-Camera-photo_Upload.svg.png
Fiesta de San Sebastián,Regional,Villaviciosa de Odón,Q23455600,20 de enero,27 de noviembre de 2014,40°21′45″N,3°54′50″O,https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23455600&descriptionlang=es&categories=Festivals+of+the+Community+of+Madrid&description=Fiesta+de+San+Sebasti%C3%A1n,https://es.wikipedia.org/w/index.php?title=Fiesta_de_San_Sebasti%C3%A1n_(Villaviciosa_de_Od%C3%B3n)&action=edit&redlink=1,https://es.wikipedia.org/wiki/Villaviciosa_de_Od%C3%B3n,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_21_45_N_3_54_50_W_&title=Villaviciosa+de+Od%C3%B3n,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_21_45_N_3_54_50_W_&title=Villaviciosa+de+Od%C3%B3n,,https://www.wikidata.org/wiki/Q23455600,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/50px-Camera-photo_Upload.svg.png
Fiesta de la Vaquilla,Regional,Colmenar Viejo,Q5861673,2 de febrero,1986,40°39′32″N,3°45′59″O,https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q5861673&descriptionlang=es&categories=Fiesta+de+la+Vaquilla+%28Colmenar+Viejo%29&description=Fiesta+de+la+Vaquilla,https://es.wikipedia.org/wiki/Fiesta_de_la_Vaquilla_(Colmenar_Viejo),https://es.wikipedia.org/wiki/Colmenar_Viejo,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_39_32_N_3_45_59_W_&title=Colmenar+Viejo,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_39_32_N_3_45_59_W_&title=Colmenar+Viejo,,https://www.wikidata.org/wiki/Q5861673,Fiesta de la Vaquilla (Colmenar Viejo),https://commons.wikimedia.org/wiki/Category:Fiesta_de_la_Vaquilla_(Colmenar_Viejo),https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/50px-Camera-photo_Upload.svg.png
Semana Santa en Alcalá de Henares,Regional,Alcalá de Henares,Q23453142,Semana Santa,1 de abril de 2004,40°28′00″N,3°22′00″O,"https://commons.wikimedia.org/wiki/File:Alcal%C3%A1_de_Henares_en_Semana_Santa,_Madrid,_Espa%C3%B1a,_2015.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23453142&descriptionlang=es&categories=Holy+Week+in+Alcal%C3%A1+de+Henares&description=Semana+Santa+en+Alcal%C3%A1+de+Henares",https://es.wikipedia.org/w/index.php?title=Semana_Santa_en_Alcal%C3%A1_de_Henares&action=edit&redlink=1,https://es.wikipedia.org/wiki/Alcal%C3%A1_de_Henares,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_28_00_N_3_22_00_W_&title=Alcal%C3%A1+de+Henares,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_28_00_N_3_22_00_W_&title=Alcal%C3%A1+de+Henares,,https://www.wikidata.org/wiki/Q23453142,Holy Week in Alcalá de Henares,https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Alcal%C3%A1_de_Henares,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Alcal%C3%A1_de_Henares_en_Semana_Santa%2C_Madrid%2C_Espa%C3%B1a%2C_2015.jpg/75px-Alcal%C3%A1_de_Henares_en_Semana_Santa%2C_Madrid%2C_Espa%C3%B1a%2C_2015.jpg; https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/16px-Camera-photo_Upload.svg.png
Semana Santa en Torrejón de Ardoz,Regional,Torrejón de Ardoz,Q23453232,Semana Santa,13 de marzo de 2014,40°27′00″N,3°28′59″O,https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23453232&descriptionlang=es&categories=Festivals+of+the+Community+of+Madrid&description=Semana+Santa+en+Torrej%C3%B3n+de+Ardoz,https://es.wikipedia.org/w/index.php?title=Semana_Santa_en_Torrej%C3%B3n_de_Ardoz&action=edit&redlink=1,https://es.wikipedia.org/wiki/Torrej%C3%B3n_de_Ardoz,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_27_00_N_3_28_59_W_&title=Torrej%C3%B3n+de+Ardoz,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_27_00_N_3_28_59_W_&title=Torrej%C3%B3n+de+Ardoz,,https://www.wikidata.org/wiki/Q23453232,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/50px-Camera-photo_Upload.svg.png
Semana Santa en San Lorenzo de El Escorial,Regional,San Lorenzo de El Escorial,Q23453288,Semana Santa,18 de junio de 2014,40°35′35″N,4°08′51″O,https://commons.wikimedia.org/wiki/File:Sant%C3%ADsimo_Cristo_de_la_Buena_Muerte.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q23453288&descriptionlang=es&categories=Holy+Week+in+San+Lorenzo+de+El+Escorial&description=Semana+Santa+en+San+Lorenzo+de+El+Escorial,https://es.wikipedia.org/w/index.php?title=Semana_Santa_en_San_Lorenzo_de_El_Escorial&action=edit&redlink=1,https://es.wikipedia.org/wiki/San_Lorenzo_de_El_Escorial,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_35_35_N_4_08_51_W_&title=San+Lorenzo+de+El+Escorial,,http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_inter%C3%A9s_tur%C3%ADstico_de_la_Comunidad_de_Madrid&params=40_35_35_N_4_08_51_W_&title=San+Lorenzo+de+El+Escorial,,https://www.wikidata.org/wiki/Q23453288,Holy Week in San Lorenzo de El Escorial,https://commons.wikimedia.org/wiki/Category:Holy_Week_in_San_Lorenzo_de_El_Escorial,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Sant%C3%ADsimo_Cristo_de_la_Buena_Muerte.jpg/75px-Sant%C3%ADsimo_Cristo_de_la_Buena_Muerte.jpg; https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Camera-photo_Upload.svg/16px-Camera-photo_Upload.svg.png
