WikidataID,WikidataFiestaURI,FiestaLabel,Location,WikidataLocation
Q21003744,http://www.wikidata.org/entity/Q21003744,Volatín de Tudela,Tudela,http://www.wikidata.org/entity/Q244747
Q21480645,http://www.wikidata.org/entity/Q21480645,Fiesta del Vítor,Mayorga,http://www.wikidata.org/entity/Q1915094
Q21980996,http://www.wikidata.org/entity/Q21980996,Las Mondas,Talavera de la Reina,http://www.wikidata.org/entity/Q181359
Q23199379,http://www.wikidata.org/entity/Q23199379,Auto Sacramental de los Reyes Magos,Santillana del Mar,http://www.wikidata.org/entity/Q493817
Q23199388,http://www.wikidata.org/entity/Q23199388,Entroido de Verín,Verín,http://www.wikidata.org/entity/Q176504
Q23199390,http://www.wikidata.org/entity/Q23199390,Moros y Cristianos de Bocairente,Bocairente,http://www.wikidata.org/entity/Q574105
Q23199619,http://www.wikidata.org/entity/Q23199619,Semana Santa en Puente Genil,Puente Genil,http://www.wikidata.org/entity/Q589053
Q23199623,http://www.wikidata.org/entity/Q23199623,Semana Santa en Arcos de la Frontera,Arcos de la Frontera,http://www.wikidata.org/entity/Q637863
Q23199627,http://www.wikidata.org/entity/Q23199627,Semana Santa en Huércal-Overa,Huércal-Overa,http://www.wikidata.org/entity/Q1372614
Q23199628,http://www.wikidata.org/entity/Q23199628,Semana Santa en Riogordo,Riogordo,http://www.wikidata.org/entity/Q1630306
Q23199632,http://www.wikidata.org/entity/Q23199632,Semana Santa en Baena,Baena,http://www.wikidata.org/entity/Q854403
Q23199634,http://www.wikidata.org/entity/Q23199634,Semana Santa en Castro del Río,Castro del Río,http://www.wikidata.org/entity/Q1447412
Q23199635,http://www.wikidata.org/entity/Q23199635,Semana Santa en Álora,Álora,http://www.wikidata.org/entity/Q250746
Q23309268,http://www.wikidata.org/entity/Q23309268,Semana Santa en Calahorra,Calahorra,http://www.wikidata.org/entity/Q642046
Q23309290,http://www.wikidata.org/entity/Q23309290,Semana Santa en Logroño,Logroño,http://www.wikidata.org/entity/Q14325
Q23309296,http://www.wikidata.org/entity/Q23309296,Fiestas del Santo,Santo Domingo de la Calzada,http://www.wikidata.org/entity/Q646564
Q23309463,http://www.wikidata.org/entity/Q23309463,Día de la Almadía,Burgui,http://www.wikidata.org/entity/Q1637042
Q23309493,http://www.wikidata.org/entity/Q23309493,Fiestas de Estella,Estella-Lizarra,http://www.wikidata.org/entity/Q646620
Q23309739,http://www.wikidata.org/entity/Q23309739,Semana Santa en Ponferrada,Ponferrada,http://www.wikidata.org/entity/Q12164
Q23309748,http://www.wikidata.org/entity/Q23309748,Corpus Christi en Béjar,Béjar,http://www.wikidata.org/entity/Q695375
Q23309754,http://www.wikidata.org/entity/Q23309754,Fiestas de Nuestra Señora de la Asunción,La Alberca,http://www.wikidata.org/entity/Q1012961
Q23309758,http://www.wikidata.org/entity/Q23309758,Encierros de Medina del Campo,Medina del Campo,http://www.wikidata.org/entity/Q693913
Q23452661,http://www.wikidata.org/entity/Q23452661,Pasión Viviente de Chinchón,Chinchón,http://www.wikidata.org/entity/Q915395
Q23452764,http://www.wikidata.org/entity/Q23452764,Fiestas del Cristo de los Remedios,San Sebastián de los Reyes,http://www.wikidata.org/entity/Q484717
Q23452890,http://www.wikidata.org/entity/Q23452890,Romería de la Virgen de Gracia,San Lorenzo de El Escorial,http://www.wikidata.org/entity/Q371748
Q23540583,http://www.wikidata.org/entity/Q23540583,Fiestas Aracelinatas,Lucena,http://www.wikidata.org/entity/Q504598
Q23541308,http://www.wikidata.org/entity/Q23541308,Semana Santa en Teruel,Teruel,http://www.wikidata.org/entity/Q14336
Q23541310,http://www.wikidata.org/entity/Q23541310,Día del Traje Típico Ansotano,Ansó,http://www.wikidata.org/entity/Q570484
Q23541312,http://www.wikidata.org/entity/Q23541312,Fiestas del Santo Cristo y San Vicente Ferrer,Graus,http://www.wikidata.org/entity/Q937763
Q23615758,http://www.wikidata.org/entity/Q23615758,Fiestas Patronales en Honor de la Virgen de Ermitana,Peñíscola,http://www.wikidata.org/entity/Q845424
Q23640572,http://www.wikidata.org/entity/Q23640572,Fiestas mayores de Almansa,Almansa,http://www.wikidata.org/entity/Q13930
Q23640575,http://www.wikidata.org/entity/Q23640575,Semana de la Zarzuela,La Solana,http://www.wikidata.org/entity/Q1607352
Q23648119,http://www.wikidata.org/entity/Q23648119,Fallas de Sagunto,Sagunto,http://www.wikidata.org/entity/Q47483
Q23648123,http://www.wikidata.org/entity/Q23648123,El Cerezo en Flor,Valle del Jerte,http://www.wikidata.org/entity/Q2606802
Q23648126,http://www.wikidata.org/entity/Q23648126,La Bajada del Ángel,Peñafiel,http://www.wikidata.org/entity/Q667682
Q23648134,http://www.wikidata.org/entity/Q23648134,Semana Santa en Sagunto,Sagunto,http://www.wikidata.org/entity/Q47483
Q23650029,http://www.wikidata.org/entity/Q23650029,Semana Santa en Mula,Mula,http://www.wikidata.org/entity/Q1983986
Q23650033,http://www.wikidata.org/entity/Q23650033,Semana Santa en Badajoz,Badajoz,http://www.wikidata.org/entity/Q15679
Q23650034,http://www.wikidata.org/entity/Q23650034,Semana Santa en Jerez de los Caballeros,Jerez de los Caballeros,http://www.wikidata.org/entity/Q1153945
Q23650037,http://www.wikidata.org/entity/Q23650037,Moros y Cristianos de Bañeres,Bañeres,http://www.wikidata.org/entity/Q621626
Q23650256,http://www.wikidata.org/entity/Q23650256,Romería de Nuestra Señora de la Cabeza,Andújar,http://www.wikidata.org/entity/Q528530
Q23650260,http://www.wikidata.org/entity/Q23650260,Fiestas de las Cruces y los Fuegos de Mayo,,
Q23650264,http://www.wikidata.org/entity/Q23650264,Corpus Christi en Villa de Mazo,Villa de Mazo,http://www.wikidata.org/entity/Q434321
Q23650267,http://www.wikidata.org/entity/Q23650267,Octava del Corpus y Romería de San Isidro,La Orotava,http://www.wikidata.org/entity/Q920391
Q23650270,http://www.wikidata.org/entity/Q23650270,Ajedrez Viviente,Jávea,http://www.wikidata.org/entity/Q851020
