Year,Month,Day,Hour,Minute,DataSourceAndUncertaintyFlags,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericStationPressure,ExtraterrestrialHorizontalRadiation,ExtraterrestrialDirectNormalRadiation,HorizontalInfraredRadiationIntensity,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithLuminance,WindDirection,WindSpeed,TotalSkyCover,OpaqueSkyCover,Visibility,CeilingHeight,PresentWeatherObservation,PresentWeatherCodes,PrecipitableWater,AerosolOpticalDepth,SnowDepth,DaysSinceLastSnowfall,Albedo,LiquidPrecipitationDepth,LiquidPrecipitationQuantity
1989,1,1,1,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,4.4,0.4,75,93465,0,0,265,0,0,0,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,2,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,4.4,0.4,75,93465,0,0,265,0,0,0,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,3,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,4.4,0.4,75,93465,0,0,265,0,0,0,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,4,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,4.4,0.4,75,93465,0,0,265,0,0,0,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,5,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,3.9,0.4,78,93465,0,0,263,0,0,0,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,6,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,3.9,0.4,78,93465,0,0,263,0,0,0,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,7,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,3.3,0.4,81,93465,0,0,261,0,0,0,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,8,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,3.3,0.7,83,93465,0,0,261,0,0,0,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,9,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,2.8,1.0,88,93465,0,0,260,15,0,15,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,10,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,3.3,1.3,87,93465,0,0,262,31,6,30,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,11,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,3.9,1.6,85,93465,0,0,264,50,3,49,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,12,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,5.0,1.6,79,93465,0,0,269,69,3,68,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,13,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,6.1,1.9,74,93465,0,0,273,151,6,148,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
1989,1,1,14,60,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,7.2,2.2,70,93465,0,0,278,145,6,142,999900,999900,999900,99990,0,6.7,0,0,777.7,77777,0,999999999,0,0.0000,0,88,0,0.0,0.0
