shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
T4ANA,41.387606,2.191928,1
T4ANA,41.387965,2.191456,2
T4ANA,41.388109,2.191262,3
T4ANA,41.389609,2.189281,4
T4ANA,41.390173,2.188524,5
T4ANA,41.391301,2.18705,6
T4ANA,41.391362,2.186996,7
T4ANA,41.391418,2.186956,8
T4ANA,41.391477,2.186932,9
T4ANA,41.391587,2.186909,10
T4ANA,41.391679,2.186902,11
T4ANA,41.391769,2.186901,12
T4ANA,41.391891,2.186903,13
T4ANA,41.392772,2.186903,14
T4ANA,41.393282,2.186907,15
T4ANA,41.394071,2.186914,16
T4ANA,41.394646,2.186913,17
T4ANA,41.394786,2.186911,18
T4ANA,41.394906,2.186903,19
T4ANA,41.395132,2.186879,20
T4ANA,41.395329,2.186866,21
T4ANA,41.395641,2.186867,22
T4ANA,41.396478,2.18687,23
T4ANA,41.396769,2.186873,24
T4ANA,41.397536,2.18688,25
T4ANA,41.398235,2.186884,26
T4ANA,41.39852,2.186885,27
T4ANA,41.398714,2.18689,28
T4ANA,41.399178,2.186891,29
T4ANA,41.399543,2.186891,30
T4ANA,41.399868,2.186892,31
T4ANA,41.400148,2.186892,32
T4ANA,41.401256,2.186895,33
T4ANA,41.401701,2.186896,34
T4ANA,41.402062,2.186901,35
T4ANA,41.402148,2.186917,36
T4ANA,41.402199,2.18695,37
T4ANA,41.402242,2.186995,38
T4ANA,41.402272,2.187049,39
T4ANA,41.402291,2.187092,40
T4ANA,41.402358,2.187255,41
T4ANA,41.402417,2.187409,42
T4ANA,41.402505,2.187593,43
T4ANA,41.402578,2.18772,44
T4ANA,41.402674,2.187858,45
T4ANA,41.402779,2.187988,46
T4ANA,41.402861,2.188068,47
T4ANA,41.402961,2.188157,48
T4ANA,41.403096,2.18825,49
T4ANA,41.403173,2.188293,50
T4ANA,41.403288,2.188345,51
T4ANA,41.403402,2.188392,52
T4ANA,41.40351,2.188439,53
T4ANA,41.403609,2.188488,54
T4ANA,41.40369,2.188549,55
T4ANA,41.403733,2.188617,56
T4ANA,41.403763,2.188721,57
T4ANA,41.404008,2.189741,58
T4ANA,41.404446,2.191495,59
T4ANA,41.406145,2.198232,60
T4ANA,41.407809,2.204912,61
T4ANA,41.4092,2.210463,62
T4ANA,41.41009,2.214026,63
T4ANA,41.410211,2.214485,64
T4ANA,41.410276,2.214734,65
T4ANA,41.410401,2.215272,66
T4ANA,41.410492,2.215632,67
T4ANA,41.410744,2.216654,68
T4ANA,41.410933,2.217392,69
T4ANA,41.411224,2.218576,70
T4ANA,41.411301,2.21888,71
T4ANA,41.411419,2.219324,72
T4ANA,41.411466,2.219473,73
T4ANA,41.411553,2.219596,74
T4ANA,41.411637,2.219674,75
T4ANA,41.411843,2.219864,76
T4ANA,41.412166,2.220149,77
T4ANA,41.413323,2.221195,78
T4ANA,41.413894,2.22171,79
T4ANA,41.414143,2.221929,80
T4ANA,41.414382,2.222148,81
T4ANA,41.41488,2.222596,82
T4ANA,41.41524,2.222929,83
T4ANA,41.415905,2.223528,84
T4ANA,41.416494,2.22406,85
T4ANA,41.416887,2.224408,86
T4ANA,41.417189,2.224677,87
T4ANA,41.417348,2.224815,88
T4ANA,41.417526,2.224968,89
T4ANA,41.417703,2.225123,90
T4ANA,41.417817,2.225223,91
T4ANA,41.418354,2.225694,92
T4ANA,41.418875,2.226168,93
T4ANA,41.419219,2.226471,94
T4ANA,41.419351,2.22659,95
T4ANA,41.419481,2.226719,96
T4ANA,41.419683,2.226922,97
T4ANA,41.419882,2.227122,98
T4ANA,41.419974,2.227213,99
T4ANA,41.420086,2.227313,100
T4ANA,41.420253,2.227452,101
T4ANA,41.4211,2.228168,102
T4ANA,41.422453,2.229303,103
T4ANA,41.423347,2.230057,104
T4ANA,41.423488,2.230164,105
T4ANA,41.42356,2.230217,106
T4ANA,41.423667,2.230301,107
T4ANA,41.423762,2.230381,108
T4ANA,41.424016,2.230597,109
T4TOR,41.424016,2.230597,1
T4TOR,41.423762,2.230381,2
T4TOR,41.423667,2.230301,3
T4TOR,41.42356,2.230217,4
T4TOR,41.423488,2.230164,5
T4TOR,41.423347,2.230057,6
T4TOR,41.422453,2.229303,7
T4TOR,41.4211,2.228168,8
T4TOR,41.420253,2.227452,9
T4TOR,41.420086,2.227313,10
T4TOR,41.419974,2.227213,11
T4TOR,41.419882,2.227122,12
T4TOR,41.419683,2.226922,13
T4TOR,41.419481,2.226719,14
T4TOR,41.419351,2.22659,15
T4TOR,41.419219,2.226471,16
T4TOR,41.418875,2.226168,17
T4TOR,41.418354,2.225694,18
T4TOR,41.417817,2.225223,19
