CountryofResidence,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Canada,44122,4016,3521,3900,2962,3319,4111,5330,5044,2527,2345,2447,4600
USA,54254,5144,4851,5265,3408,3538,3917,4919,4061,3276,3432,4223,8220
Austria,16995,2463,2917,1949,774,596,395,1456,1232,649,1063,1422,2079
Belgium,14387,1285,1552,1639,675,377,586,2705,1511,1180,688,839,1350
Denmark,18097,2892,3029,2216,679,490,1096,2632,783,502,921,896,1961
France,96440,9878,14602,11175,7518,3281,3659,10949,10805,5008,5849,5845,7871
Netherlands,41373,3194,3555,2442,2496,1458,1711,9755,4726,2915,2272,2941,3908
Italy,29791,4131,3607,2683,1455,1010,1390,2418,4517,1392,1274,1803,4111
Norway,12790,1164,1336,1318,496,374,1825,2260,644,504,808,877,1184
Spain,19425,984,1054,1587,856,719,735,2371,3888,1846,1758,1691,1936
Sweden,21589,3715,3277,2339,771,416,859,937,498,466,1305,1943,5063
Switzerland,26282,2483,2580,2122,1870,966,1208,5540,1672,1432,2103,1695,2611
UK,188159,16253,19194,21430,12006,8412,9406,23948,20475,12288,10964,13337,20446
Germany,133275,12760,14426,16264,8065,7591,5461,10971,12224,10101,12246,11172,11994
Russia,58176,8358,6958,5916,4081,1756,1608,2269,2511,2353,4726,8461,9179
Ukraine,31302,4662,4261,2979,2338,1213,755,1014,1164,1413,2782,4323,4398
Czech Republic,17858,2576,3330,2443,1222,357,530,1124,885,941,791,1755,1904
Poland,14432,2067,2167,1289,943,435,466,810,817,842,745,2045,1806
South Africa,5208,322,327,562,273,315,344,424,300,454,308,292,1287
Saudi Arabia,38836,3813,1075,3636,1372,2279,400,7514,9338,4057,1290,3052,1010
UAE,8475,562,287,641,363,507,132,2021,1297,1130,286,424,825
Isreal,10391,768,921,459,972,302,408,1007,1328,1055,1585,518,1068
Kuwait,5726,961,368,410,409,394,207,761,779,630,211,219,377
Oman,13268,1764,558,613,632,727,105,3812,2662,693,541,580,581
China,271577,26083,32186,19645,18972,16004,19952,30631,27519,22111,20566,18590,19318
Japan,43110,3134,4726,4074,3172,2233,2674,3633,5179,4032,2845,2702,4706
Malaysia,24727,1532,2155,2071,1509,2118,1976,2395,1817,2188,1727,2376,2863
Philippines,12747,903,989,1175,991,1113,1003,1057,949,1156,1136,1228,1047
Indonesia,15297,1118,1816,2010,1581,2090,724,566,497,707,783,1225,2180
Singapore,18602,687,1388,1752,1023,1440,1718,1339,1561,1465,1196,1963,3070
Thailand,10880,2105,670,919,754,809,606,913,839,577,1044,820,824
South Korea,14283,1868,1322,1194,749,914,909,1231,1296,1001,1173,1386,1240
India,356729,28895,26559,30170,25890,34259,27068,27665,24418,27241,36471,30148,37945
Maldives,95167,6908,5780,9006,6706,7441,4722,8203,6739,8385,5417,9948,15912
Pakistan,29965,2298,1648,2716,2260,2504,1459,3252,3171,2523,2266,2869,2999
Bangladesh,17098,1130,1081,1060,1258,1265,1022,2175,1110,1742,1665,1959,1631
Australia,74496,7084,4421,6158,4699,3446,5760,7089,6235,5997,4103,5481,14023
New Zealand,9045,658,507,673,592,585,640,1022,747,824,564,689,1544
